,公司名称,投资方,更新时间,融资轮次,行业,详情URL
0,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
1,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
2,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
3,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
4,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
5,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
6,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
7,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
8,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
9,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
10,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
11,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
12,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
13,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
14,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
15,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
16,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
17,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
18,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
19,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
20,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
21,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
22,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
23,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
24,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
25,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
26,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
27,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
28,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
29,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
30,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
31,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
32,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
33,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
34,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
35,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
36,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
37,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
38,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
39,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
40,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
41,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
42,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
43,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
44,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
45,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
46,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
47,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
48,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
49,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
50,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
51,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
52,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
53,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
54,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
55,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
56,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
57,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
58,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
59,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
60,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
61,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
62,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
63,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
64,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
65,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
66,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
67,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
68,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
69,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
70,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
71,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
72,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
73,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
74,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
75,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
76,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
77,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
78,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
79,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
80,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
81,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
82,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
83,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
84,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
85,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
86,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
87,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
88,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
89,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
90,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
91,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
92,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
93,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
94,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
95,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
96,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
97,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
98,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
99,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
100,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
101,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
102,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
103,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
104,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
105,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
106,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
107,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
108,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
109,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
110,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
111,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
112,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
113,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
114,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
115,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
116,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
117,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
118,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
119,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
120,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
121,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
122,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
123,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
124,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
125,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
126,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
127,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
128,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
129,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
130,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
131,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
132,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
133,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
134,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
135,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
136,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
137,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
138,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
139,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
140,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
141,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
142,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
143,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
144,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
145,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
146,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
147,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
148,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
149,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
150,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
151,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
152,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
153,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
154,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
155,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
156,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
157,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
158,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
159,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
160,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
161,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
162,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
163,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
164,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
165,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
166,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
167,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
168,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
169,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
170,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
171,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
172,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
173,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
174,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
175,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
176,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
177,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
178,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
179,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
180,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
181,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
182,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
183,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
184,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
185,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
186,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
187,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
188,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
189,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
190,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
191,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
192,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
193,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
194,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
195,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
196,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
197,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
198,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
199,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
200,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
201,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
202,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
203,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
204,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
205,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
206,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
207,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
208,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
209,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
210,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
211,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
212,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
213,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
214,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
215,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
216,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
217,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
218,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
219,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
220,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
221,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
222,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
223,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
224,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
225,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
226,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
227,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
228,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
229,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
230,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
231,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
232,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
233,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
234,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
235,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
236,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
237,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
238,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
239,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
240,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
241,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
242,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
243,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
244,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
