appcategory,appname,comments,company,install,love,platform,size,update,version
网上购物-商城-团购-优惠,有赞微小店,299,杭州有赞科技有限公司,74.7万,67.00%,Android 4.1.x 以上,9.7MB,2018年02月09日,2.2.6
网上购物-团购-优惠,美团,10681,北京三快科技有限公司,2.1亿,66.00%,Android 4.1.x 以上,68.32MB,2018年03月27日,9.1.2
网上购物-商城-团购-优惠,当当,110,北京当当科文电子商务有限公司,1786.2万,55.00%,Android 4.0.2 以上,33.2MB,2018年04月08日,8.4.0
网上购物-团购-优惠,大众点评,2853,汉诚信息技术（上海）有限公司,8463万,96.00%,Android 4.1.x 以上,52.57MB,2018年03月14日,9.10.6
网上购物-商城-团购-优惠-全球导购,一淘,5127,淘宝（中国）软件有限公司,1302.1万,90.00%,Android 4.0.3 以上,21.45MB,2018年04月04日,8.4.2
网上购物-团购-优惠,返利,4317,上海中彦信息科技有限公司,1762.8万,91.00%,Android 4.0.2 以上,39.23MB,2018年03月22日,6.7.0
网上购物-团购,百度外卖,263,北京小度信息科技有限公司,3520.2万,42.00%,Android 4.1.x 以上,16.64MB,2018年03月29日,4.16.0
网上购物-团购-优惠,百度糯米,10499,北京百度糯米信息技术有限公司,7033.7万,96.00%,Android 4.3.x 以上,31.5MB,2018年03月20日,8.2.1
网上购物-商城-团购-优惠,楚楚街,215,北京醋溜网络科技股份有限公司,824.9万,53.00%,Android 4.1.x 以上,38.17MB,2018年03月29日,3.22
网上购物-商城-团购-优惠,折800,2128,团博百众（北京）科技有限公司,2404.3万,51.00%,Android 4.1.x 以上,26.2MB,2018年03月14日,4.35.0
网上购物-商城-团购,淘手游,27,贵州指趣网络科技有限公司,125.4万,75.00%,Android 4.0.3 以上,9.48MB,2018年03月28日,2.4.3
网上购物-团购-优惠,聚划算,218,浙江天猫技术有限公司,1363.5万,36.00%,Android 4.0.2 以上,22.49MB,2018年03月29日,5.32.0
网上购物-团购,Nike SNKRS,3,耐克商业（中国）有限公司,2.6万,67.00%,Android 4.4.4 以上,39.51MB,2018年03月14日,2.0.2
网上购物-团购,美团开店宝,20,北京三快在线科技有限公司,511.3万,40.00%,Android 4.1.x 以上,25.98MB,2018年03月12日,6.6.2
网上购物-商城-团购-优惠,柚子街,222,厦门美柚信息科技有限公司,134.4万,97.00%,Android 4.0.3 以上,23.05MB,2018年02月07日,2.4.9
网上购物-团购-优惠,穿衣助手,844,上海优梦信息科技有限公司,791.5万,57.00%,Android 4.1.x 以上,42.56MB,2018年03月26日,11.13.1
网上购物-团购,一手服装批发网,1645,广州富米科技有限公司,8.3万,100.00%,Android 4.0.3 以上,13.13MB,2018年04月07日,2.3.0
网上购物-团购,天天拼货团,449,广州市酷有网络技术有限公司,7.9万,100.00%,Android 4.4.4 以上,15.46MB,2018年04月08日,3.2
网上购物-团购-优惠-快递,富友收件宝,51,上海富友支付服务有限公司,168.4万,8.00%,Android 4.0.2 以上,9.03MB,2018年03月20日,3.0.6
网上购物-团购,屈臣氏莴笋,547,武汉屈臣氏个人用品商店有限公司,159.3万,99.00%,Android 4.0.2 以上,36.24MB,2018年03月09日,3.2.0
网上购物-团购,超级淘,152,东莞市超级淘电子商务有限公司,10万,67.00%,Android 4.2.x 以上,44.61MB,2018年03月27日,1.10.40
网上购物-团购,美团酒店商家,1,北京三快科技有限公司,16.2万,100.00%,Android 4.1.x 以上,15.37MB,2018年04月03日,3.6.1
网上购物-团购,拉手团购,106,北京拉手网络技术有限公司,477.9万,65.00%,Android 3.2.x 以上,13.92MB,2017年11月23日,7.50
网上购物-团购,百度糯米商家,6,北京百度糯米信息技术有限公司,84.5万,暂无,Android 4.0.2 以上,31.89MB,2018年02月09日,4.5.0
网上购物-团购,窝窝,-1,北京闪惠信息技术有限公司,5.9万,暂无,Android 2.3.7 以上,13.92MB,2017年12月27日,5.7.5
网上购物-团购-优惠,米折,392,北京风之文化传媒有限公司,922万,54.00%,Android 4.0.2 以上,10.72MB,2017年06月28日,6.1.0
网上购物-商城-团购-优惠,有赞微小店,299,杭州有赞科技有限公司,74.7万,67.00%,Android 4.1.x 以上,9.7MB,2018年02月09日,2.2.6
